IAGA,GLON,GLAT,MLON,MLAT,Station name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
HOV,353.2,61.5,77.14,60.23,Faroe Island,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,51%,86%,28%
GIM,265.36,56.38,-26.36,66.2,Gillam,99%,96%,94%,100%,93%,98%,99%,99%,99%,99%,100%,98%,98%,54%,61%,99%,82%,99%,94%,58%
TAL,266.45,69.54,-28.34,78.52,Taloyoak,37%,59%,32%,76%,42%,82%,66%,67%,93%,86%,83%,75%,76%,43%,10%,0%,7%,7%,68%,16%
CNL,248.75,65.75,-54.85,73.06,Contwoyto Lake,98%,91%,85%,85%,62%,94%,78%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
DAW,220.89,64.05,-85.65,66.19,Dawson City,91%,91%,99%,91%,98%,91%,73%,77%,99%,98%,99%,90%,96%,62%,32%,47%,25%,91%,74%,40%
EKP,265.95,61.11,-26.26,70.76,Eskimo Point,90%,92%,90%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
FCC,265.91,58.76,-25.88,68.53,Fort Churchill,100%,100%,100%,100%,100%,100%,98%,99%,100%,98%,100%,98%,98%,100%,97%,99%,92%,96%,96%,89%
FMC,248.79,56.66,-50.31,64.29,Fort McMurray,94%,98%,98%,99%,64%,70%,100%,99%,97%,100%,99%,87%,90%,47%,89%,86%,86%,80%,95%,74%
FSP,238.77,61.76,-65.21,67.45,Fort Simpson,94%,93%,99%,99%,85%,92%,100%,99%,99%,98%,99%,100%,90%,73%,96%,41%,99%,87%,100%,100%
SMI,248.07,60.03,-52.59,67.48,Fort Smith,99%,92%,98%,98%,100%,97%,100%,99%,87%,88%,87%,60%,62%,94%,71%,97%,98%,42%,100%,80%
ISL,265.34,53.86,-26.06,63.74,Island Lake,0%,0%,0%,84%,94%,88%,100%,44%,87%,98%,85%,98%,90%,81%,81%,49%,27%,46%,93%,72%
