IAGA,GLON,GLAT,MLON,MLAT,Station name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
T44,281.92,58.47,-0.26,68.2,Inukjuak,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,22%,98%,100%,63%,81%,92%
T45,282.24,55.28,-0.04,65.08,Kuujjuarapik,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,20%,87%,100%,88%,100%,93%
T46,282.71,60.05,1.14,69.65,Puvirnituq,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,23%,95%,0%,17%,0%,70%
T47,284.35,62.2,4.03,71.55,Salluit,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,23%,96%,96%,99%,99%,38%
T48,293.19,54.8,15.63,63.24,Schefferville,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,77%,78%,100%,99%,62%
T49,293.73,50.22,15.58,58.51,Spet-lles,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,17%,85%,98%,73%,99%,93%
T50,287.55,48.65,7,57.94,Saint-Fellicien,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,18%,99%,85%,85%,98%,88%
T51,282.22,48.05,-0.64,57.96,Val-dOr,0%,0%,0%,0%,0%,15%,75%,58%,90%,81%,61%,31%,0%,0%,19%,99%,53%,97%,82%,91%
T52,282.38,53.79,0.05,63.62,Radisson,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,17%,91%,86%,99%,100%,95%
T53,281.85,60.82,-0.14,70.44,Akulivik,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,82%,0%,0%,0%,0%
VNA,351.7,-70.7,41.66,-60.52,Neumayer Station III,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,85%,93%,95%,91%,96%
CUL,149.58,-30.28,-133.45,-39.6,Culgoora,0%,0%,0%,27%,95%,87%,90%,53%,60%,72%,91%,88%,59%,98%,96%,73%,0%,0%,0%,0%
HOB,147.35,-42.88,-132.6,-53.67,Hobart,84%,99%,98%,97%,99%,80%,97%,98%,91%,97%,83%,87%,98%,85%,99%,37%,0%,0%,0%,0%
TWN,146.82,-19.27,-138.43,-28.02,Townsville,95%,37%,75%,97%,97%,26%,91%,79%,69%,23%,0%,31%,86%,68%,75%,90%,0%,0%,0%,0%
AMA,129.33,28.17,-157.88,21.2,Amami-Oshima,0%,0%,0%,0%,0%,18%,70%,62%,77%,56%,18%,57%,71%,0%,0%,0%,0%,0%,0%,0%
ANC,282.85,-11.77,-4.64,1.26,Ancon,0%,0%,0%,0%,0%,0%,22%,98%,94%,61%,97%,43%,30%,85%,83%,0%,0%,0%,0%,0%
ASB,142.17,43.46,-145.3,36.68,Ashibetu,0%,0%,0%,0%,0%,35%,64%,89%,81%,92%,59%,90%,95%,87%,36%,19%,45%,0%,0%,0%
ASW,32.51,23.5,104.58,15.08,Aswan,0%,0%,0%,0%,0%,0%,0%,0%,0%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
BCL,105.71,9.3,178.2,1.43,Bac_Lieu,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,72%,82%,98%,8%,0%,0%,0%,0%
BKL,102.31,-3.86,174.76,-12.91,Bengkulu,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,29%,0%,0%,0%,0%,0%,0%,0%
CDO,124.63,8.4,-163.15,0.68,CagayanDeOro,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,56%,66%,22%,79%,31%,0%,0%,0%,0%,0%
CEB,123.91,10.36,-163.85,2.73,Cebu,0%,0%,0%,0%,0%,50%,70%,50%,43%,45%,39%,79%,29%,21%,22%,66%,28%,0%,0%,0%
CKT,145.25,-15.48,-140.63,-24.1,Cooktown,0%,0%,0%,0%,0%,13%,99%,30%,67%,46%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
CMD,150.67,-34.06,-131.29,-43.57,Camden,0%,0%,0%,0%,0%,28%,93%,81%,82%,90%,67%,66%,53%,0%,0%,0%,0%,0%,0%,0%
DES,39.12,-6.46,111.67,-16.14,Dal Es Salaam,0%,0%,0%,0%,0%,0%,0%,0%,30%,48%,100%,99%,66%,0%,0%,0%,0%,0%,0%,0%
DRB,30.56,-29.48,97.47,-38.57,Durban,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
EUS,321.57,-3.88,34.89,-6.39,Eusebio,0%,0%,0%,0%,0%,0%,23%,74%,72%,26%,56%,79%,73%,65%,15%,0%,0%,0%,0%,0%
FYM,35.5,29.18,107.66,22.14,Fayum,0%,0%,0%,0%,0%,0%,0%,0%,32%,69%,70%,0%,0%,0%,0%,0%,0%,0%,0%,0%
GSI,97.34,1.18,169.82,-7.64,Gunung Sitoli,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,22%,0%,0%,0%,0%,0%
HLN,121.55,23.9,-165.76,17.01,Hualien,0%,0%,0%,0%,0%,60%,26%,5%,64%,47%,6%,56%,43%,62%,88%,6%,0%,0%,0%,0%
HVD,91.67,48.01,165.09,43.65,Khovd,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,45%,99%,99%,22%,0%,0%,0%,0%,0%
ICA,284.25,-14.08,-3.34,-0.87,Ica,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,40%,57%,91%,4%,0%,0%,0%,0%
ILR,4.68,8.5,77.49,-6.48,Ilorin,0%,0%,0%,0%,0%,0%,34%,42%,96%,78%,50%,85%,17%,0%,0%,0%,0%,0%,0%,0%
JRS,281.7,0,-5.55,12.08,Alem Ecua,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,20%,31%,0%,37%,0%,0%,0%,0%
JYP,140.7,2.51,-146.98,-5.6,Jayapura,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,16%,47%,58%,0%,0%,0%,0%,0%
KPG,123.4,-10.2,-163.97,-19.07,Kupang,0%,0%,0%,0%,0%,0%,27%,14%,53%,0%,0%,0%,0%,61%,48%,0%,0%,0%,0%,0%
KRT,13.02,33.37,86.23,23.87,Khartoum,0%,0%,0%,0%,0%,0%,0%,0%,34%,51%,27%,69%,70%,57%,0%,0%,0%,0%,0%,0%
KUJ,131.23,33.06,-155.78,26.25,Kuju,0%,0%,0%,0%,0%,39%,7%,35%,53%,66%,94%,89%,53%,99%,87%,87%,35%,0%,0%,0%
LAG,3.27,6.48,76.05,-8.34,Lagos,0%,0%,0%,0%,0%,0%,0%,0%,25%,60%,32%,0%,0%,0%,0%,0%,0%,0%,0%,0%
LGZ,123.74,13.1,-163.97,5.59,Legazpi,0%,0%,0%,0%,0%,0%,0%,0%,0%,43%,66%,55%,42%,64%,25%,0%,0%,0%,0%,0%
LKW,99.78,6.3,172.31,-2,Langkawi,0%,0%,0%,0%,0%,0%,12%,55%,22%,38%,6%,85%,98%,92%,61%,55%,76%,0%,0%,0%
LSK,28.19,-15.23,99.69,-26.08,Lusaka,0%,0%,0%,0%,0%,0%,0%,0%,26%,17%,12%,61%,0%,0%,0%,0%,0%,0%,0%,0%
LWA,104.06,-5.02,176.52,-14.1,Liwa,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,15%,32%,53%,0%,0%,0%,0%,0%
MLB,145.18,-38.36,-136.63,-48.94,Melbourne,0%,0%,0%,0%,0%,0%,24%,87%,89%,45%,61%,33%,0%,0%,0%,0%,0%,0%,0%,0%
MND,124.84,1.44,-162.89,-6.58,Manado Indon,0%,0%,0%,0%,0%,42%,98%,31%,69%,19%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
NAB,36.48,-1.16,109.21,-11.09,Nairobi,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,27%,93%,48%,0%,34%,0%,0%,0%,0%,0%
PRP,119.4,-3.6,-168.17,-11.96,ParePare,0%,0%,0%,0%,0%,0%,43%,73%,34%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
PTK,158.25,52.94,-132.26,46.66,St.Paratunka,0%,0%,0%,0%,0%,0%,25%,78%,88%,18%,72%,93%,95%,76%,39%,81%,0%,0%,0%,0%
ROC,150.31,-23.19,-134,-31.88,Rockhampton,0%,0%,0%,0%,0%,0%,89%,89%,85%,87%,45%,59%,24%,73%,92%,5%,0%,0%,0%,0%
SBH,116.07,6.02,-171.58,-1.8,Jayapura,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,23%,0%,0%,0%,0%,0%
SCN,100.3,-0.55,172.77,-9.4,Sicincin,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,32%,31%,71%,15%,0%,0%,0%,0%
TGG,121.76,17.66,-165.81,10.41,Tuguegarao,0%,0%,0%,0%,0%,46%,92%,0%,15%,0%,28%,0%,0%,0%,0%,0%,0%,0%,0%,0%
TIR,76.95,8.48,149.78,0.59,Tirunelveli,0%,0%,0%,0%,0%,0%,0%,19%,35%,88%,77%,83%,78%,29%,98%,60%,17%,0%,0%,0%
WAD,256.1,51.9,-39.14,60.74,Wadena,0%,0%,0%,0%,0%,0%,18%,65%,89%,69%,84%,97%,29%,86%,45%,0%,0%,0%,0%,0%
G01,306.28,-29.72,13.61,-20.29,Santa Maria,0%,0%,0%,0%,0%,0%,0%,89%,9%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
KLD,20.2,54.5,96.4,50.76,Kaliningrad,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,88%,99%,90%,88%,0%,0%,0%
T54,283.15,39.1,-0.06,49.02,Laurel,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,35%,85%,16%,0%
T55,208.74,60.55,-94.48,60.29,Kenia College,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,38%,100%,99%,0%
T56,267.03,45.59,-22.91,55.68,Hrisis,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,60%,66%,36%,74%,0%,71%,73%,72%,0%,0%
T57,255.39,38.25,-37.88,46.77,Pblolo,0%,0%,0%,0%,0%,0%,0%,0%,0%,56%,70%,84%,0%,0%,0%,0%,0%,0%,0%,0%
T58,237.83,37.42,-57.83,42.55,Stfdford,0%,0%,0%,0%,0%,0%,0%,0%,0%,27%,77%,28%,81%,51%,0%,0%,0%,0%,0%,0%
BRN,132.41,47.8,-154.21,41.75,Baranov,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,66%,89%,98%,99%
PG0,88.68,-83.67,38.21,-78.31,PG0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,55%,65%,63%,64%,39%
PG5,5.71,-81.96,37.09,-69.41,PG5,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,55%,65%,73%,76%
HRP,275.3,49.2,-10.79,59.48,Hornepayne,0%,0%,0%,0%,0%,0%,0%,0%,0%,7%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
LCL,252.9,51,-43.28,59.32,Lucky Lake,0%,0%,0%,0%,0%,0%,0%,91%,85%,0%,0%,0%,93%,0%,0%,0%,0%,0%,0%,0%
T59,207.6,57.79,-94.16,57.19,Kodkak,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,92%,52%,8%,0%,0%,0%,0%,0%,0%,0%
T60,210.4,66.63,-96.86,66.88,Toolik Lake,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
T61,284.56,37.88,1.78,47.66,Wlpsops Island,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,52%,48%,0%,0%,0%,0%,0%,0%
T62,26.41,65.9,106.23,62.84,Ranua,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
PKS,252.8,52.5,-43.77,60.82,ParkSite,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
FTN,237.2,58.9,-65.57,64.3,Fort Nelson,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
W01,147.21,-41.55,-133.22,-52.22,Launceston,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
W02,167.97,-29.03,-113.4,-35.53,Norfolk Island,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
W03,141.3,-2.7,-146.04,-10.93,Vanimo,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
W04,111.53,-66.28,160.34,-81.04,Casey2,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
W05,77.96,-68.58,100.67,-74.91,Davis2,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
NR2,24.65,60.5,102.27,57.25,Nurmijarvi2,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
